ID,标题,年份,副标题（国家/类型/导演/演员）,评分,海报,评分人数
1303179,女政委 Комиссар,1967,"  苏联 / 剧情,战争 / 亚历山大·阿斯柯尔道夫 / 诺娜·莫尔久科娃,罗兰·贝科夫,赖莎·涅达什科夫斯卡娅,瓦西里·舒克申,谢尔盖·尼科年科,奥塔尔·科别里泽 ",8.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2556886246.jpg,442
1440890,晴朗的天空 Чистое небо,1961,"  苏联 / 剧情,爱情,战争 / 格利高利·丘赫莱依 / 妮娜·卓别舍瓦,叶甫盖尼·乌尔班斯基 ",7.6,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2600447028.jpg,92
1297585,两个人的车站 Вокзал для двоих,1983,"  苏联 / 剧情,爱情 / 埃利达尔·梁赞诺夫 / 柳德米拉·古尔琴柯,奥列格·巴希拉什维利,尼基塔·米哈尔科夫,诺娜·莫尔久科娃,米哈伊尔·科诺诺夫,安娜斯塔希娅·沃兹涅先斯卡娅,Aleksandr Shirvindt,塔吉雅娜·多吉列娃,奥莉嘉·沃尔科娃,斯塔尼斯拉夫·萨达尔斯基,Alla Budnitskaya ",8.6,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p856874299.jpg,8849
1297268,秋日奏鸣曲 Höstsonaten,1978,"  瑞典,法国,西德,英国 / 剧情,家庭 / 英格玛·伯格曼 / 英格丽·褒曼,丽芙·乌曼,莱娜·尼曼,哈尔瓦德·比约克 ",9.1,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2034707962.jpg,31562
1353734,萨拉邦德 Saraband,2003,"  瑞典,丹麦,挪威,意大利,芬兰,德国,奥地利 / 剧情 / 英格玛·伯格曼 / 丽芙·乌曼,厄兰·约瑟夫森,伯杰·阿斯特,尤利娅·杜韦纽斯,贡内尔·弗雷德 ",8.3,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2037301424.jpg,1971
1299536,不良少女莫妮卡 Sommaren med Monika,1953,"  瑞典 / 剧情,爱情 / 英格玛·伯格曼 / 哈里特·安德森,拉斯·埃克伯格,达格玛·艾伯森 ",7.9,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1104856635.jpg,9674
1292853,安娜的情欲 En passion,1969,"  瑞典 / 剧情,爱情 / 英格玛·伯格曼 / 马克斯·冯·叙多夫,丽芙·乌曼,毕比·安德松,厄兰·约瑟夫森,拉尔斯-奥弗·卡尔贝里 ",8.1,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2519584384.jpg,3904
1303555,蔑视 Le mépris,1963,"  法国,意大利 / 剧情,爱情 / 让-吕克·戈达尔 / 碧姬·芭铎,米歇尔·皮科利,杰克·帕兰斯,焦尔贾·莫尔,弗里茨·朗 ",7.8,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2201081188.jpg,8685
1293388,冬天的故事 Conte d'hiver,1992,"  法国 / 剧情,爱情 / 埃里克·侯麦 / 夏洛特·韦里,弗里德里克·范登德里舍,米歇尔·瓦莱蒂,赫尔菲里克,Ava Loraschi,Christiane Desbois,Rosette,Jean-Luc Revol,Haydée Caillot,让-克洛德·比埃特,玛丽·里维埃,Claudine Paringaux,罗杰·杜马斯,达尼埃莱·莱布伦,戴安莱夫里耶 ",8.5,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1665123572.jpg,36074
1302675,夏天的故事 Conte d'été,1996,"  法国 / 剧情,爱情 / 埃里克·侯麦 / 梅尔维尔·珀波,阿曼达·朗格勒,格瑙西蒙,奥蕾莉亚·诺林,Aimé Lefèvre,Alain Guellaff,Evelyne Lahana,Yves Guérin,Franck Cabot-David ",8.3,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1404178381.jpg,46387
1293776,女友的男友 L'ami de mon amie,1987,"  法国 / 喜剧,爱情 / 埃里克·侯麦 / 艾玛奴艾蕾肖莱,索菲雷诺瓦,安妮-劳蕾 默里,艾瑞克维耶拉尔,法郎考斯艾瑞克金德伦 ",8.4,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2201354776.jpg,29964
1296976,飞行员的妻子 La Femme de l'aviateur,1981,"  法国 / 剧情,喜剧,爱情 / 埃里克·侯麦 / 菲利普·玛劳德,玛丽·里维埃,安妮-劳蕾 默里,马修·加里瑞,菲利普·卡洛特,法布莱斯·鲁奇尼,雪美莲,Coralie Clément,María Luisa García,Haydée Caillot,Neil Chan,Rosette ",8.2,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2201353791.jpg,10929
1294486,人约巴黎 Les rendez-vous de Paris,1995,"  法国 / 喜剧,爱情 / 埃里克·侯麦 / Clara Bellar,Antoine Basler,Mathias Mégard ",8.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2499534383.jpg,12167
1303534,沙滩上的宝莲 Pauline à la plage,1983,"  法国 / 剧情,喜剧,爱情 / 埃里克·侯麦 / 阿曼达·朗格勒,阿丽尔·朵巴丝勒,帕斯卡尔·格雷戈里 ",8.1,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2164464526.jpg,13988
1292504,柏林苍穹下 Der Himmel über Berlin,1987,"  西德,法国 / 剧情,爱情,奇幻 / 维姆·文德斯 / 布鲁诺·冈茨,索尔维格·多马尔坦,奥托·山德尔,科特·博伊斯,彼得·法尔克 ",8.6,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p792520149.jpg,41572
1300281,伟大的国王 Der große König,1942,"  德国 / 剧情,历史,战争 / 威特·哈尔兰 / Otto Gebühr,克里斯蒂娜·泽德尔鲍姆,古斯塔夫·佛力施,汉斯·尼尔森,Hilde Körber,保罗·威格纳,奥托·维尔尼克,Harry Hardt,Hans Hermann Schaufuß,Claus Clausen,Klaus Detlef Sierck,Paul Henckels,Elisabeth Flickenschildt,弗朗茨·沙夫海特林,Kurt Meisel,Karl Günther,Otto Graf,Hans Stiebner,Walter Franck,Knut Hartwig,Hermann Meyer-Falkow,Armin Schweizer,汉斯·斯腾伯格,Ernst Dernburg,Leonore Ehn,Arthur Fritz Eugens,Franz Fiedler,Hugo Flink,Herbert Gernot,伯恩哈德·格茨克,Kristian Veit Harlan,Clemens Hasse,Karl Hellmer,Otto F. Henning,Herbert Hübner,Käthe Jöken-König,Maria Krahn,Alexander Kökert,Maria Loja,Hans Meyer-Hanno,Franz Nicklisch,Reginald Pasch,Josef Peterhans,Anton Pointner,Erik Radolf,路易斯·拉尔夫,Heinz Salfner,Just Scheu,Werner Schott,Heinrich Schroth,Ernst Stimmel,Jakob Tiedtke,Otz Tollen,Wolf Trutz,Leopold von Ledebur,Michael von Newlinsky,Jaspar von Oertzen,Paul Westermeier,Willi Witte ",,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2223340076.jpg,0
1296917,寂静太阳年 Rok spokojnego słońca,1984,"  波兰,意大利,西德 / 剧情,爱情 / 克日什托夫·扎努西 / 斯科特·威尔森,马娅·科莫罗夫斯卡,汉娜·斯卡尔赞卡,埃娃·达尔科夫斯卡 ",7.6,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1752578354.jpg,882
3006204,攻击 Attack,1956,"  美国 / 剧情,动作,战争 / 罗伯特·奥尔德里奇 / 杰克·帕兰斯,埃迪·艾伯特,李·马文 ",7.9,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2176090063.jpg,158
1303547,北斗七星 Vaghe stelle dell'Orsa...,1965,"  意大利,法国 / 剧情,悬疑,战争 / 卢基诺·维斯康蒂 / 克劳迪娅·卡汀娜,让·索雷尔,迈克尔·克雷格,伦佐·里奇,弗莱德.威廉姆斯,Amalia Troiani,玛丽·贝儿,Vittorio Manfrino,Giovanni Rovini,Renato Moretti,Paola Piscini,Isacco Politi,奧斯卡·布纳奇,格伦·萨克逊,费迪南多·斯卡尔菲奥蒂,布鲁诺·希皮约勒 ",7.5,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2334077836.jpg,835
